Tipo,Aeropuerto,País,Item (EN),Item (ES),Precio,Descripción (EN),Descripción (ES),Notas
EXPO,,Chile,RNATT,RNATT,Interfamily +USD 150,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,el microchip podria sera aparrteo no estar
EXPO,,Chile,Veterinary Fees,Honorarios veterinarios,"USD200 x 1 mascota, USD 260 x 2 mascotas y USD 340 por 3 mascotas","Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",
EXPO,,Chile,International Travel Certificate – Americas,Certificado internacional de viaje – América,DESTINO AMERICA  USD320 x 1 mascota USD 450 por 2 mascotas y USD 450 por 3 mascotas,"All legal paperwork issued in SAG to enter the pet(s) from Chile into [destino, ciudad] 
Includes:
 - International health certificate issued by SAG","Todo el papeleo legal para ingresar la(s) mascota(s) de Chile al [destino, ciudad]  incluye:  
- Certificado de salud internacional emitido por SAG",
EXPO,,Chile,International Travel Certificate – Non-Americas,Certificado internacional de viaje – No América,USD350 x 1 mascota USD 410 por 2 mascotas y USD 470 por 3 mascotas,,,
EXPO,,Chile,EU Transit Certificate,Certificado de tránsito UE,USD 120 por pet,,,
EXPO,,Chile,Collection / Pick-up,Retiro / Recogida,USD 200 si entran en una sala camioneta,Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Chile,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entrega a la aerolínea en el aeropuerto [código aeropuerto],
EXPO,,Chile,Air Freight,Flete aéreo,+ USD 1000 sobre Interfamily,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees
and taxes charged by the airline and by the official offices as well, such as Customs, SAG.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas y SAG. 
Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",
EXPO,,Chile,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,USD 350 siempre,,,
EXPO,,Chile,Domestic Forwarding,Reenvío doméstico,"a cualquier cuidad de Chile hay que consaultar por Interfamily y el costo a cotizar es  x 1,6",,,
EXPO,,Chile,Boarding / Lodging,Hospedaje,"USD 70 por mascota por día si es una noche , si es mas de una noche USD 50 por noche .",,,
EXPO,,Costa Rica,Travel Crate,Jaula de viaje,Javier + USD 10,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",SI ES MAS DE UNA JAULA DEBERA SER PLURAL  : crates meet IATA regluaitons
EXPO,,Costa Rica,Crate Pre-delivery,Pre-entrega de la jaula,idem retiro normal,"Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
EXPO,,Costa Rica,RNATT,RNATT,Javier +USD 140,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,el microchip podria sera aparrteo no estar
EXPO,,Costa Rica,Veterinary Fees,Honorarios veterinarios,"USD150 x 1 mascota, USD 210 x 2 mascotas y USD 270 por 3 mascotas","Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",
EXPO,,Costa Rica,International Travel Certificate – Americas,Certificado internacional de viaje – América,DESTINO AMERICA  USD280 x 1 mascota USD 360 por 2 mascotas y USD 440 por 3 mascotas,"All legal paperwork issued in SENASA to enter the pet(s) from Costa Rica into [destino, ciudad] 
Includes:
 - International health certificate issued by SAG","Todo el papeleo legal para ingresar la(s) mascota(s) de Costa Rica al [destino, ciudad]  incluye:  
- Certificado de salud internacional emitido por SENASA",
EXPO,,Costa Rica,International Travel Certificate – Non-Americas,Certificado internacional de viaje – No América,USD280 x 1 mascota USD 360 por 2 mascotas y USD 440 por 3 mascotas,,,
EXPO,,Costa Rica,EU Transit Certificate,Certificado de tránsito UE,USD 120 por pet,,,
EXPO,,Costa Rica,Collection / Pick-up,Retiro / Recogida,USD 200 si entran en una sala camioneta,Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Costa Rica,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entregar a la aerolínea en el aeropuerto [codigo aeropuerto],
EXPO,,Costa Rica,Export Customs Clearance,Despacho aduanero de exportación,"USD 205 siempre , no importa la cantidad de mascotas es por AWB .","Includes our charges, our customs agent's charges and SENASA´s fees","Incluye nuestros cargos, los cargos de nuestro agente de aduanas y los honorarios de SENASA.",
EXPO,,Costa Rica,Air Freight,Flete aéreo,+ USD 1000 sobre Javier,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees
and taxes charged by the airline and by the official offices as well, such as Customs, SENASA.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye, también, todas las tasas e impuestos cobrados por la aerolínea y por las oficinas oficiales, tales como Aduanas y SENASA. 
Incluye los honorarios del agente necesarios para exportar los animales. IMPORTANTE: El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que volver a estimar el flete aéreo. Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea] ETA: Por confirmar Frecuencia: Por confirmar",
EXPO,,Costa Rica,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,USD 350 siempre,,,
EXPO,,Costa Rica,Domestic Forwarding,Reenvío doméstico,"a cualquier cuidad de C Ricahay que consaultar por Javier y el costo  a cotizar es  x 1,6",,,
EXPO,,Costa Rica,Boarding / Lodging,Hospedaje,"USD 40 por mascota por día si es una noche , si es mas de una noce USD 30 por noche .",,,
TRANSITO,,Chile / Argentina,Reception & Assistance During Connections,Recepción y asistencia en escalas,350 USD,"Reception and assistance for [cantidad] pet[s] at customs restricted area at [codigo aeropuerto donde se presta servicio] airport. We will clean crate, water and feed the pet[s] if needed. Service includes an hour of assitance and supervision","Recepción y asistencia para [cantidad] mascota[s] en el área restringida de aduanas en el aeropuerto [codigo aeropuerto donde se presta servicio]. Limpiaremos la jaula, daremos agua y alimentaremos a la[s] mascota[s] si es necesario. El servicio incluye una hora de asistencia y supervisión.",
TRANSITO,,Chile / Argentina,Air Freight,Flete aéreo,proveedor + 1000 USD,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees and taxes charged by the airline and by the official offices as well, such as Customs, healt autohorities.
Includes agent fees needed to export the animals.","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad de CARGA. Incluye, asimismo, todas las tasas e impuestos cobrados por la aerolínea y por las oficinas oficiales, tales como Aduanas y autoridades sanitarias. 
Incluye los honorarios del agente necesarios para exportar los animales.",
TRANSITO,,Chile / Argentina,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,350 USD,,,
EXPO,,Argentina,Travel Crate,Jaula de viaje,tabla de precios,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",
EXPO,,Argentina,Crate Pre-delivery,Pre-entrega de la jaula,Ver tabla de precios,"Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
EXPO,,Argentina,RNATT,RNATT,1778 USD x 1 // 2068 USD x 2 // 2258 USD x 3,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,
EXPO,,Argentina,Veterinary Fees,Honorarios veterinarios,Ver tabla de precios,"Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",Para calcular precios | https://www.dropbox.com/home/2-%20Paises%20que%20sirve%20LATAM%20Pet%20Transport/1%20Paises%20LATAM%20Pet%20Transport/Argentina/Info%20para%20cotizar/Para%20cotizar%20al%20cliente
EXPO,,Argentina,International Travel Certificate,Certificado internacional de viaje,Ver tabla de precios,"All legal paperwork issued in SAG to enter the pet(s) from Chile into [destino, ciudad] 
Includes:
 - International health certificate issued by SAG","Todo el papeleo legal para ingresar la(s) mascota(s) de Chile al [destino, ciudad]  incluye:  
- Certificado de salud internacional emitido por SAG",
EXPO,,Argentina,Ground Transport,Transporte terrestre,no estimable,,,
EXPO,,Argentina,Collection / Pick-up,Retiro / Recogida,180 USD (alerta: mirar tamano de jaulas para que entre en una camioneta  y dirección del cliente),Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Argentina,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entregar a la aerolínea en el aeropuerto [codigo aeropuerto],
EXPO,,Argentina,Air Freight,Flete aéreo,cot de broker + 1000 USD,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees
and taxes charged by the airline and by the official offices as well, such as Customs, SENASA.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye, también, todas las tasas e impuestos cobrados por la aerolínea y por las oficinas oficiales, tales como Aduanas y SENASA. 
Incluye los honorarios del agente necesarios para exportar los animales. IMPORTANTE: El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que volver a estimar el flete aéreo. Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea] 
ETA: Por confirmar 
Frecuencia: Por confirmar",
EXPO,,Argentina,Export Customs Clearance,Despacho aduanero de exportación,USD 200,"Includes our charges, our customs agent's charges and other fees.","Incluye nuestros cargos, los cargos de nuestro agente de aduanas y los otros honorarios.",
EXPO,,Argentina,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,Ver tabla de precios,,,
IMPO,MIA,USA,Customs Clearance MIA airport,Despacho aduanero – Aeropuerto MIA,1 pet: USD 575 | 2 pets: USD 605 | 3 pets: USD 635,"Includes our charges, our customs agent's charges and USDA's fees.","Incluye nuestros cargos, los cargos de nuestro agente de aduanas y los honorarios de USDA.",Costo adicional USD 175 si es cachorro (formal entry requerida)
IMPO,MIA,USA,Home delivery,Entrega a domicilio,USD 225,Our personnel will transport pet(s) from MIA airport to client's residence within city limits.,Nuestro personal transportará la(s) mascota(s) desde el aeropuerto MIA hasta la residencia del cliente dentro de los límites de la ciudad.,
IMPO,EZE,Argentina,Customs Clearance EZE airport,Liberación de aduana – Aeropuerto EZE,"1 pet: USD 1,780 | 2 pets: USD 2,130 | 3 pets: USD 2,480 | 4 pets: USD 2,830","Includes our charges, our customs agent's charges and Senasa's fees. Service quoted Monday to Friday from 9 to 17pm.",Proceso de aprobación de la importación de animales vivos por parte de la Dirección Nacional de Aduana. Cotizado para arribos dentro del horario laboral de 8 am a 2 pm.,
IMPO,EZE,Argentina,Mandatory fixed import taxes,Impuestos de importación fijos,1 pet: USD 280 | 2 pets: USD 380 | 3 pets: USD 450 | 4 pets: USD 470,"Argentina taxes the import of pet animals. Fixed amount charged by the Ministry of Agriculture, Livestock and Fisheries.","Valor fijo por la importación de mascotas arancelado por el Ministerio de Agricultura, Pesca y Ganadería.",No exemption possible. (Versión ESP 1 mascota: USD 230)
IMPO,EZE,Argentina,POA (Power of Attorney),Poder notarial (POA),USD 0 | (online: USD 120),"The consignee must sign a POA in favor of our customs broker and have it notarized, in person or online.","El consignatario debe firmar un poder notarial a favor de nuestro agente de aduanas y notarizarlo, presencialmente u online.",If signed online: USD 120
IMPO,EZE,Argentina,Variable import taxes (39% of CIF value),Impuestos de importación variables (39% del valor CIF),USD 0 (variable),Applies only to puppies under 1 year old. Calculated as 39% of the CIF value declared on the AWB.,Aplica solo a cachorros menores de 1 año de edad. Se calcula como el 39% del valor CIF declarado en el AWB.,Not applicable unless puppies under 1 year old
IMPO,EZE,Argentina,Home delivery,Entrega a domicilio,1–3 pets: USD 180 | 4 pets: USD 380,Our personnel will transport pet(s) from EZE airport to client's residence in Buenos Aires metro area. Monday to Friday from 9 to 17pm.,Entrega de la mascota y la jaula en el domicilio del cliente dentro del área metropolitana de Buenos Aires.,4 pets: requiere van grande
IMPO,GIG,Brasil,Customs Clearance GIG airport,Liberación de aduana – Aeropuerto GIG,"1 pet: USD 1,110 | 2 pets: USD 1,140 | 3 pets: USD 1,200","Includes our charges, our customs agent's charges and Mapa fees. IMPORTANT: if clearance is outside normal working days and hours, additional charges apply.",Proceso de aprobación de la importación de animales vivos por parte de Receita Federal. Cotizado para arribos dentro del horario laboral de 8 am a 5 pm.,
IMPO,GIG,Brasil,Warehouse and airport taxes,Impuestos de almacenaje y aeropuerto,1 pet: USD 120 | 2 pets: USD 140 | 3 pets: USD 160,Includes Brazilian customs' import tax for the animals import and warehouse charges at the airport.,Incluye las tasas de importación brasileñas para la importación de animales y los gastos de almacenaje en el aeropuerto.,
IMPO,GIG,Brasil,Import taxes Brazil (variable),Impuestos de importación Brasil (variables),USD 0 (variable),Brazil taxes the import of pets. Total cost ~60% of airfreight and pet value. Legal exemptions exist for foreigners or Brazilians returning from abroad.,Impuestos a cobrar de acuerdo al valor declarado en la guía aérea (~60%). Consultar previa llegada de la mascota.,~60% airfreight + pet value. Exemptions may apply (ver archivo adjunto)
IMPO,GIG,Brasil,Mandatory import taxes,Impuestos obligatorios,1 pet: USD 80 | 2 pets: USD 160 | 3 pets: USD 240,Mandatory import taxes charged by Receita Federal.,Impuestos obligatorios recaudados por Receita Federal.,Charged by Receita Federal
IMPO,GIG,Brasil,Home delivery – Metro Rio de Janeiro,Entrega a domicilio – Gran Río de Janeiro,1–2 pets: USD 210 | 3 pets: USD 270,LATAM personnel will transport pet(s) from GIG airport to client's residence in Metro Rio de Janeiro.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana de Río de Janeiro.,
IMPO,GRU,Brasil,Customs Clearance GRU airport,Liberación de aduana – Aeropuerto GRU,"1 pet: USD 950 | 2 pets: USD 980 | 3 pets: USD 1,010","Includes our charges, our customs agent's charges and Mapa fees. IMPORTANT: if clearance is outside normal working days and hours, additional charges apply.",Proceso de aprobación de la importación de animales vivos por parte de Receita Federal. Cotizado para arribos dentro del horario laboral de 8 am a 5 pm.,
IMPO,GRU,Brasil,Warehouse and airport taxes,Impuestos de almacenaje y aeropuerto,1 pet: USD 170 | 2 pets: USD 190 | 3 pets: USD 240,Includes Brazilian customs' import tax for the animals import and warehouse charges at the airport.,Incluye las tasas de importación brasileñas para la importación de animales y los gastos de almacenaje en el aeropuerto.,
IMPO,GRU,Brasil,Import taxes Brazil (variable),Impuestos de importación Brasil (variables),USD 0 (variable),Brazil taxes the import of pets. Total cost ~60% of airfreight and pet value. Legal exemptions exist for foreigners or Brazilians returning from abroad.,Impuestos a cobrar de acuerdo al valor declarado en la guía aérea (~60%). Consultar previa llegada de la mascota.,~60% airfreight + pet value. Exemptions may apply (ver archivo adjunto)
IMPO,GRU,Brasil,Home delivery – Metro São Paulo,Entrega a domicilio – Gran São Paulo,1–2 pets: USD 200 | 3 pets: USD 250,Home delivery to owner's residence within São Paulo city limits.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana de São Paulo.,
IMPO,VCP,Brasil,Customs Clearance VCP airport,Despacho de Aduana Aeropuerto VCP,1 pet 1110 USD / 2 pets 1140 USD / 3 pets 1200 USD,"Includes our charges, our customs agent's charges and Mapa fees.","Incluye nuestros cargos, los de nuestro agente de aduanas y las tasas de Mapa.",Cargos extra por despacho después de las 13:30 y fines de semana.
IMPO,VCP,Brasil,Warehouse and airport taxes,Tasas de Almacén y Aeropuerto,1 pet 120 USD / 2 pets 140 USD / 3 pets 160 USD,,,
IMPO,VCP,Brasil,Import taxes,Impuestos de Importación,60 % of airfreight and pet value in AWB,60 % of airfreight and pet value in AWB,60 % del valor del flete aéreo y de la mascota en el AWB,
IMPO,VCP,Brasil,Mandatory import taxes,Impuestos de Importación Obligatorios,1 pet 80 USD / 2 pets 160 USD / 3 pets 240 USD,,,
IMPO,VCP,Brasil,Home delivery,Entrega a domicilio,1 pet 220 USD / 2 pets 220 USD / 3 pets 270 USD,,,
IMPO,SCL,Chile,Customs Clearance,Liberación de aduana,1 pet 980 USD / 2 pets 1100 USD / 3 pets 1220 USD,"Includes our charges, our customs agent´s charges and SAG fees.","Incluye nuestros cargos, los cargos de nuestro agente y los impuestos de SAG","IMPORTANT: if clearance is outside normal working days and hours, we will need to add a surcharge. / IMPORTANTE: Si la liberación se realiza fuera de hora, se adicionará costo."
IMPO,SCL,Chile,Import taxes,Impuestos de Importación,1-2 pets: 30% of the CIF value / 3 pets: 35% of the CIF value,Chile taxes the import of pets. Total cost is approx. 30-35% over CIF value + commercial value.,Chile cobra un impuesto por la importación de mascotas (30-35% del valor CIF + valor mascota).,
IMPO,SCL,Chile,Home delivery,Traslado a domicilio en Metro Santiago,1 pet 180 USD / 2 pets 210 USD / 3 pets 280 USD,Home delivery to customer's residence in Santiago metro area.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana.,
