Tipo,Aeropuerto,País,Item (EN),Item (ES),Precio,Descripción (EN),Descripción (ES),Notas
IMPO,PTY,Panamá,Customs Clearance PTY airport,Liberación de Aduana — Aeropuerto PTY,"1 pet: USD 856 / 2 pets: USD 956 / 3 pets: USD 1,056","Includes our charges, our customs agent's charges and MINSA/MIDA's fees.","Incluye nuestros costos, los costos de nuestro agente aduanero y los costos de MINSA/MIDA.",USD 250 extra fee applies for flight arrival after 4:30 pm.
IMPO,PTY,Panamá,Home quarantine,Cuarentena domiciliaria,1 pet: USD 146 / 2 pets: USD 196 / 3 pets: USD 246,Authorization issued by MINSA for home quarantine.,Autorización emitida por MINSA para cuarentena domiciliaria.,
IMPO,PTY,Panamá,Home delivery in Panama metro area,Entrega en domicilio — área metropolitana de Panamá,1 pet: USD 230 / 2 pets: USD 230 / 3 pets: USD 280,Home delivery to owner's residence within city limits.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana.,
IMPO,LIM,Perú,Cargo Clearance LIM airport,Liberación de aduana — Aeropuerto LIM,"1 pet: USD 1,050 / 2 pets: USD 1,170 / 3 pets: USD 1,300","Includes our charges, our customs agent's charges and Senasa's fees. Does not include Peru's Customs import tax for the animal's import.",Proceso de aprobación de la importación de animales vivos por parte de Aduana-SUNAT. No incluye impuestos de aduana del Perú para la importación de animales.,Extra fees apply for any arrival after 1:30 pm.
IMPO,LIM,Perú,Import taxes Peru,Impuestos de importación,35% of CIF value (applies from the 2nd pet if not exempted),"Peru taxes the import of pet animals. Total cost is approximately 35% over CIF value, applies on the 2nd pet.",Impuestos a cobrar de acuerdo al valor declarado en la guía aérea (35%). Se aplica a partir de la 2ª mascota si no está exenta.,35% of CIF value will apply if not exempted on the 2nd pet.
IMPO,LIM,Perú,Home delivery in Lima,Entrega en el domicilio,1 pet: USD 200 / 2 pets: USD 200 / 3 pets: USD 250,LATAM Pet Transport personnel will transport pets from LIM airport to client's residence in Lima metro area.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana de Lima.,
IMPO,MVD,Uruguay,Customs Clearance MVD airport,Liberación de aduana — Aeropuerto MVD,"1 pet: USD 1,150 / 2 pets: USD 1,200 / 3 pets: USD 1,250","Includes our charges, our customs agent's charges and MGAP's fees. Does not include Uruguay Customs' import tax for the animal's import.",Proceso de aprobación de la importación de animales vivos por parte de la Dirección Nacional de Aduana. No incluye impuestos de aduana de Uruguay para la importación de animales.,Quoted Mon–Fri until 1:30 pm. Extra charges apply for after-hours and weekend arrivals.
IMPO,MVD,Uruguay,Import taxes MVD,Impuestos de importación,1 pet: USD 170 / 2 pets: USD 220 / 3 pets: USD 270,35% of the CIF value is a must and will apply.,Valor fijo por la importación de mascotas en Uruguay (equivalente al 35% del valor CIF).,
IMPO,MVD,Uruguay,Home delivery in Montevideo,Entrega en el domicilio,USD 210 (1–3 pets),Pick up from MVD airport and delivery to owner's residence in Montevideo metro area.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana de Montevideo.,
IMPO,CUN,México,Customs Clearance CUN airport,Liberación de Aduana — Aeropuerto CUN,"1 pet: USD 1,350 / 2 pets: USD 1,500 / 3 pets: USD 1,650","Includes our charges, our customs agent's charges and health authorities fees (SENASICA).","Incluye nuestros costos, los costos de nuestro agente y los costos de SENASICA.",
IMPO,CUN,México,Warehouse Access,Acceso a la Bodega,1 pet: USD 190 / 2 pets: USD 240 / 3 pets: USD 290,Pets will be placed in warehouse until customs clearing process is finished.,La mascota permanecerá en la bodega hasta que se complete la liberación de aduana.,
IMPO,CUN,México,Import taxes Mexico,Impuestos de Importación en México,30% of airfreight and pet value on AWB,Subject to pets value declared on AWB.,30% del valor de la guía aérea. Sujeto a la valuación de la mascota.,
IMPO,CUN,México,Home delivery (zone-based),Entrega en domicilio (por zona),Metro Cancún: 1 pet USD 200 / 2 pets USD 200 / 3 pets USD 250 | Puerto Morelos: 1 pet USD 300 / 2 pets USD 250 / 3 pets USD 300 | Playa del Carmen: USD 400 | Tulum: USD 500 | Cozumel: 1-2 pets USD 500 / 3 pets USD 550 + ferry | Isla Mujeres: USD 500 + ferry,Transport from CUN airport to client's residence. Price varies by delivery zone.,Traslado desde el aeropuerto CUN al domicilio del cliente. El precio varía según la zona de entrega.,Cozumel and Isla Mujeres: additional ferry fees apply.
IMPO,ASU,Paraguay,Customs Clearance ASU airport,Liberación de aduana — Aeropuerto ASU,"1 pet: USD 980 / 2 pets: USD 1,150 / 3 pets: USD 1,410","Includes our charges, our customs agent's charges and SENACSA's fees. Does not include Paraguay's Customs import tax.",Proceso de aprobación de la importación de animales vivos por parte de la Dirección Nacional de Aduana. Cotizado para arribos dentro del horario laboral de 7:30 am a 5 pm.,"Outside M–F 8:00–17:00: 1 pet USD 500 / 2 pets USD 1,100 / 3 pets USD 1,400 surcharge."
IMPO,ASU,Paraguay,Import taxes Paraguay,Impuestos de importación,1 pet: USD 250 / 2 pets: USD 300 / 3 pets: USD 350,Paraguay taxes the import of pet animals with a fixed amount.,"Valor fijo por la importación de mascotas arancelado por el Ministerio de Agricultura, Pesca y Ganadería.",
IMPO,ASU,Paraguay,Home delivery,Entrega en el domicilio,1 pet: USD 150 / 2 pets: USD 150 / 3 pets: USD 180,LATAM Pet Transport will deliver pets to owner's residence within city limits. Quoted in normal working hours M–F 9:00–17:00.,Entrega de la mascota en el domicilio del cliente dentro del área metropolitana de Asunción.,
